asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,lnpop2020,logpop2020
56,41625.67969,10.63647256,4.619361338
57,9979.556641,9.208293944,3.999111247
58,23571.41797,10.06779015,4.372385709
59,10174.65234,9.227654842,4.007519579
60,67046.20313,11.11313726,4.826374188
61,8925.082031,9.096620798,3.950612216
62,36896,10.51585842,4.566979286
63,4401.90625,8.389792965,3.643640789
64,29184.9375,10.28140802,4.465158768
65,25793.04688,10.15786023,4.411502647
66,24079.9375,10.0891343,4.381655355
67,282643.625,12.55194211,5.451239194
68,18724.07422,9.837565366,4.272400354
69,35904.60547,10.48862085,4.555150159
70,14916.24902,9.610206436,4.173659625
71,26046.46289,10.16763726,4.415748754
72,94011.04688,11.45116757,4.973178889
73,17621.87891,9.776896529,4.246052213
74,182922.2813,12.11681665,5.262266609
75,18596.63086,9.830735707,4.26943427
76,247086.7969,12.41749496,5.392849539
77,27981.66406,10.23930472,4.446873538
78,26370.12891,10.17998717,4.421112253
79,100510.2344,11.51801484,5.002210286
80,29531.44141,10.29321079,4.470284645
81,131366.9688,11.78574997,5.118486179
82,9336.386719,9.141674595,3.970178832
83,3987.017334,8.290798695,3.600648124
84,10535.9707,9.262550463,4.022674554
85,101956.9297,11.53230575,5.008416749
86,1806.874756,7.499353978,3.25692805
87,3301.949951,8.102268467,3.518770486
88,14393.80078,9.574552892,4.158175487
89,46445.16406,10.74602763,4.666940501
90,6400.290039,8.764098587,3.806199655
91,1729.928589,7.455835409,3.238028176
92,866.8249512,6.764837055,2.937931404
93,188312.5625,12.14585843,5.274879293
94,244527.875,12.40708459,5.388328374
95,120024.625,11.69545221,5.079270358
96,9600.560547,9.169576766,3.982296591
97,30440.17773,10.32351865,4.483447184
98,41237.92969,10.62711374,4.615296854
99,117798.2031,11.6767283,5.071138666
100,14278.50586,9.566510599,4.154682764
101,658.0999146,6.489356766,2.818291834
102,5513.381348,8.614933389,3.741418033
103,763.7030029,6.638178974,2.882924498
104,1531.035889,7.333699837,3.184985371
105,864.4740601,6.762121299,2.936751966
106,1756.141235,7.470874201,3.244559441
107,302179.6563,12.61877701,5.480265223
108,173714.4688,12.06516825,5.239835993
109,137559.3125,11.83181047,5.138489997
110,162298.8438,11.99719463,5.210315426
111,111186.125,11.61896088,5.046050595
112,48037.6875,10.77974114,4.681582093
113,23059.58594,10.04583684,4.362851505
114,44851.86328,10.71112041,4.65178049
115,195628.0156,12.18397026,5.29143105
116,20722.63867,9.938982037,4.316445055
117,13215.16211,9.489120094,4.121072495
118,1094625.125,13.90592251,6.039265412
119,103940.1172,11.55157022,5.016783202
120,20525.25391,9.929411305,4.312288538
121,37089.77344,10.52109656,4.56925418
122,3634.784668,8.19830515,3.560478687
123,15941.59863,9.676687238,4.202531871
124,13094.37793,9.479938251,4.117084871
125,421889.6875,12.95249915,5.62519891
126,37570.98438,10.53398734,4.574852574
127,13694.7793,9.524769966,4.136555038
128,89508.32813,11.40208695,4.951863445
129,25546.52344,10.14825652,4.407331806
130,9159.275391,9.122522349,3.961861117
131,20967.02539,9.950706263,4.321536821
132,18428.75195,9.82166733,4.265495925
133,111653.3047,11.62315386,5.047871582
134,83611.00781,11.33393046,4.922263458
135,84944.00781,11.34974759,4.929132748
136,157868.8281,11.96951977,5.198296385
137,367.4004517,5.906452402,2.565139686
138,124626.8694,11.73307951,5.095611686
139,103677.2344,11.54903784,5.015683404
140,8863.246094,9.089668353,3.947592808
141,37449.36328,10.53074499,4.573444438
142,11200.65137,9.323727213,4.04924328
143,29794.98242,10.30209528,4.474143134
144,454048.2188,13.02595868,5.657101976
145,117494.6328,11.67414793,5.070018028
146,227921.9063,12.33675833,5.357786069
147,4457.969238,8.402448614,3.649137067
148,870.1860352,6.768707022,2.939612109
149,69278.38281,11.1458882,4.840597741
150,6299.690674,8.748255812,3.799319225
151,769.1503546,6.64528647,2.886011245
152,24838.74929,10.12016018,4.395129724
153,1226.681641,7.112067949,3.088731865
154,2718.732178,7.907920939,3.434366427
155,327365.5,12.69883256,5.515032909
156,167227.1406,12.02710829,5.223306764
157,81066.90625,11.3030301,4.908843599
158,75603.78906,11.23326168,4.878543562
159,88772.70313,11.39383448,4.948279444
160,41210.02344,10.62643679,4.615002862
161,45138.41797,10.717489,4.654546334
162,4565.082031,8.426191762,3.659448586
163,17108.74414,9.747344965,4.233218132
164,330631.0313,12.70875832,5.519343612
