year,adm3,adm2,adm1,firms,sales,d-labour,d-wage,d-labourmonth,d-labourfem,d-wagefem,d-labourmonthfem,d-labourmale,d-wagemale,d-labourmonthmale,nd-labour,nd-wage,nd-labourmonth,nd-labourfem,nd-wagefem,nd-labourmonthfem,nd-labourmale,nd-wagemale,nd-labourmonthmale,asdf_id,totallabour,totalwage,totallabourfem,totalwagefem,totallabourmale,totalwagemale,lnsales,logsales,lntotalwage,lntotalwagefem,lngtotalwagemale,logtotalwage,logtotalwagefem,logtotalwagemale,rank,adm1_adm3
2021,San Pablo,Osorno,Los Lagos,549,12925834.34,1493,1801419.91,968.25,436,630384.8285,277.501,1057,1174009.863,690.75,656,368479.1675,299,223,153949.9666,114.501,433,214511.4279,184.5,29,2149,2169899.078,659,784334.7951,1490,1388521.291,16.37473853,7.111458586,14.59019122,13.57259124,7.306531399,6.336439535,5.894501482,6.142552543,217,Los Lagos - San Pablo
2021,Tierra Amarilla,Copiapo,Atacama,623,12923714.18,2954,1836465.183,1301.249,812,654828.3765,401.417,2139,1184702.826,899.833,1166,442249.8725,543.25,588,194406.3476,271.25,578,247825.7559,271.999,295,4120,2278715.056,1400,849234.7241,2717,1432528.582,16.37457449,7.111387345,14.63912227,13.6520909,7.907283609,6.357690022,5.929027744,6.156103296,218,Atacama - Tierra Amarilla
2021,Porvenir,Tierra del Fuego,Magallanes,691,12893510.9,1511,1717708.41,777.833,466,597288.6665,249.5,1042,1123394.524,528.333,650,339736.3165,254.833,401,144391.7086,189.001,249,195326.8349,65.833,102,2161,2057444.727,867,741680.3751,1291,1318721.359,16.37223471,7.110371192,14.53697535,13.51667367,7.163172391,6.313328177,5.870216788,6.12015304,219,Magallanes y de la Antartica Chilena - Porvenir
2021,Calle Larga,Los Andes,Valparaiso,685,12893012.22,2871,1795873.587,1481.916,879,625262.8745,453.334,2011,1176495.867,1028.583,783,327784.3515,278.834,271,134786.8436,92.5,512,192979.7359,186.334,249,3654,2123657.939,1150,760049.7181,2523,1369475.603,16.37219603,7.110354394,14.5686506,13.54113913,7.833203949,6.327084566,5.880842002,6.1365543,220,Valparaiso - Calle Larga
2021,Puerto Octay,Osorno,Los Lagos,540,12863465.92,1781,1764851.903,839.667,650,612039.9475,249.582,1053,1155786.738,590.083,478,329717.6975,226.167,173,133855.8176,79.334,305,195844.1079,146.834,287,2259,2094569.601,823,745895.7651,1358,1351630.846,16.36990175,7.109358,14.55485865,13.52234114,7.213768308,6.321094796,5.872678141,6.130858094,221,Los Lagos - Puerto Octay
2021,Yumbel,Biobio,Biobio,859,12863407.13,1892,1821550.575,1217.583,728,649005.4695,484.249,1156,1175519.89,733.333,991,381218.1305,422.167,544,171236.9596,245.583,447,209963.3989,176.583,116,2883,2202768.706,1272,820242.4291,1603,1385483.289,16.36989718,7.109356015,14.60522563,13.61735522,7.379632153,6.342968898,5.913942231,6.141601292,222,Biobio - Yumbel
2021,Rauco,Curico,Maule,745,12856163.55,5540,1888004.27,1899.997,2026,702824.0955,734.665,3620,1189135.415,1165.332,721,348882.3395,237.917,342,146500.8016,137.334,379,202363.7659,100.583,330,6261,2236886.61,2368,849324.8971,3999,1391499.181,16.36933391,7.109111389,14.62059555,13.65219707,8.293799609,6.34964397,5.929073855,6.143482955,223,Maule - Rauco
2021,Placilla,Colchagua,OHiggins,664,12831499.65,3015,1815281.592,1277.248,1081,637703.3985,439.332,1923,1180552.976,837.916,652,379523.7595,317.084,321,165877.4596,162.167,331,213628.5289,154.916,44,3667,2194805.352,1402,803580.8581,2254,1394181.505,16.36741362,7.108277416,14.60160392,13.59683309,7.720461695,6.341396011,5.905029583,6.144319317,224,Libertador Gral. Bernardo OÕHiggins - Placilla
2021,Santa Barbara,Biobio,Biobio,807,12829635.18,1554,1787706.804,843,575,628688.2635,310.083,977,1161947.535,532.584,561,340802.1605,247.251,340,147017.2326,159.917,221,193767.1539,87.333,283,2115,2128508.965,915,775705.4961,1198,1355714.689,16.3672683,7.108214307,14.57093228,13.56152821,7.088408779,6.328075484,5.889696869,6.132168302,225,Biobio - Santa Barbara
2021,DDA,Chanaral,Atacama,656,12767517.38,1992,1897756.933,1192.416,862,706888.9235,555.083,1124,1193815.542,637.083,871,383306.9005,494.167,291,161272.8466,143.583,580,222016.2809,350.584,317,2863,2281063.834,1153,868161.7701,1704,1415831.823,16.3624148,7.106106458,14.64015249,13.67413335,7.440733707,6.358137439,5.938600658,6.15101167,226,Atacama - Diego de Almagro
2021,SPA,El Loa,Antofagasta,867,12749900.16,2335,2018372.099,1434.5,1209,787610.9305,762.833,1127,1234497.693,671.667,1499,431236.1575,464.999,733,189248.3156,243.584,766,241970.0669,221.416,294,3834,2449608.257,1942,976859.2461,1893,1476467.76,16.361034,7.105506784,14.71143867,13.79209785,7.545918151,6.389096637,5.989831992,6.169223968,227,Antofagasta - San Pedro de Atacama
2021,Papudo,Petorca,Valparaiso,516,12705402.7,844,1716413.39,468.25,353,603005.1655,191.417,491,1116383.008,276.833,419,342909.2505,177.667,173,137286.1836,71.416,246,205605.2929,106.25,207,1263,2059322.641,526,740291.3491,737,1321988.301,16.35753787,7.103988435,14.53788767,13.5147991,6.602587892,6.313724394,5.869402674,6.121227612,228,Valparaiso - Papudo
2021,Maullin,Llanquihue,Los Lagos,701,12664723.65,1549,1900001.493,1057.917,696,706218.7795,513,850,1196757.498,544.916,1024,392208.2835,536.5,504,171517.0436,273.75,520,220673.4629,262.75,259,2573,2292209.777,1200,877735.8231,1370,1417430.961,16.35433102,7.102595718,14.64502688,13.68510094,7.222566019,6.360254361,5.943363824,6.151501915,229,Los Lagos - Maullin
2021,Quirihue,Itata,Nuble,585,12659205.72,2299,2011110.514,1532.75,984,776478.5315,730.834,1315,1237606.763,801.916,495,369069.3325,242.584,251,159416.2246,123.417,244,209635.3329,119.167,266,2794,2380179.847,1235,935894.7561,1559,1447242.096,16.35389523,7.102406457,14.68268661,13.74925831,7.351799869,6.376609774,5.971227014,6.160541186,230,Nuble - Quirihue
2021,Vichuquen,Curico,Maule,412,12658153.26,477,1705491.583,262.916,130,589744.2785,72.75,348,1119374.435,190.166,306,323469.3045,117.75,158,134859.7126,75.334,148,188591.8179,42.416,181,783,2028960.888,288,724603.9911,496,1307966.253,16.35381209,7.10237035,14.52303434,13.49338057,6.206575927,6.307273675,5.860100722,6.116596539,231,Maule - Vichuquen
2021,Rinconada,Los Andes,Valparaiso,532,12657357.55,1561,1736413.59,636.166,577,601902.1605,216.417,1022,1138760.95,419.75,342,324591.6535,154.083,136,136242.8476,66.917,206,188331.0329,87.166,57,1903,2061005.244,713,738145.0081,1228,1327091.983,16.35374923,7.102343048,14.5387044,13.51189557,7.113142109,6.314079097,5.868141687,6.122901026,232,Valparaiso - Rinconada
2021,Huasco,Huasco,Atacama,542,12623083.25,1181,1713434.118,655.417,346,599580.9745,206.75,862,1119432.065,448.667,527,330348.0045,242.584,318,139256.7426,156.5,209,191073.4889,86.083,215,1708,2043782.123,664,738837.7171,1071,1310505.554,16.3510377,7.101165446,14.53031263,13.51283358,6.97634807,6.310434596,5.868549058,6.117438866,233,Atacama - Huasco
2021,Alto Hospicio,Iquique,Tarapaca,4586,12604860.3,12990,1558991.825,7520.579,4229,679159.192,2895.166,8824,888871.208,4625.247,5820,505029.627,2655.081,2932,250403.303,1455.999,2888,254626.324,1199.082,238,18810,2064021.452,7161,929562.495,11712,1143497.532,16.34959304,7.100538037,14.5401668,13.74246932,9.368369236,6.314714207,5.968278593,6.058235232,234,Tarapaca - Alto Hospicio
2021,Litueche,Cardenal Caro,OHiggins,575,12599975.39,1565,1859533.652,996.083,626,679518.2915,424.999,938,1182953.036,571.083,647,349497.8125,274.083,307,147199.0516,142.501,340,202280.9889,131.584,186,2212,2209031.465,933,826717.3431,1278,1385234.025,16.34920542,7.100369697,14.60806473,13.62521813,7.153051635,6.344201902,5.917357048,6.14152315,235,Libertador Gral. Bernardo OÕHiggins - Litueche
2021,Combarbala,Limari,Coquimbo,662,12598974.8,2418,1965083.276,1349.749,1064,745635.0045,656.25,1411,1226982.231,693.5,997,400051.4565,682.166,650,181436.3586,494.749,347,218597.3239,187.416,240,3415,2365134.733,1714,927071.3631,1758,1445579.555,16.349126,7.100335207,14.67634555,13.73978582,7.471932078,6.373855886,5.967113166,6.160041997,236,Coquimbo - Combarbala
2021,Pencahue,Talca,Maule,597,12592981.85,2266,1752251.225,976.249,1001,609347.2255,387.833,1259,1145878.782,588.416,564,328034.7525,153.167,338,134304.7616,90.834,226,193712.2179,62.334,37,2830,2080285.978,1339,743651.9871,1485,1339591,16.34865022,7.100128577,14.54801593,13.51932845,7.303170051,6.318123042,5.871369743,6.126972221,237,Maule - Pencahue
2021,Panquehue,San Felipe,Valparaiso,474,12584320.04,3106,1904462.992,1530.999,878,694833.2645,528.333,2222,1212604.513,1002.666,775,359184.5265,303.75,359,153833.7306,136.083,416,205333.0239,167.666,61,3881,2263647.519,1237,848666.9951,2638,1417937.537,16.34796216,7.099829755,14.63248802,13.65142216,7.877776333,6.354808802,5.928737313,6.1516571,238,Valparaiso - Panquehue
2021,Negrete,Biobio,Biobio,465,12584256.31,1433,1729590.304,634.75,520,599656.6285,213.25,911,1132908.457,421.499,373,323238.8325,166.167,200,133633.9086,112.25,173,189587.1509,53.916,82,1806,2052829.137,720,733290.5371,1084,1322495.608,16.34795709,7.099827555,14.53472947,13.50529727,6.988413182,6.312352803,5.865276081,6.121394238,239,Biobio - Negrete
